Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Above,-1.0,0900,0.0,0200,6,0,0.0
Above,-1.0,0900,0.0,0300,6,0,0.0
Above,-1.0,0900,0.0,0400,6,0,0.0
Above,-1.0,0900,0.0,0500,6,0,0.0
Above,-1.0,0900,0.0,0600,6,0,0.0
Above,-1.0,0900,0.0,0700,6,0,0.0
Above,-1.0,0900,0.0,0800,6,0,0.0
Above,-1.0,0900,0.0,0900,6,0,0.0
Above,-1.0,0900,0.0,1000,6,0,0.0
Above,-1.0,0900,0.0,1100,6,0,0.0
Above,-1.0,0900,0.0,1200,6,0,0.0
Above,-1.0,0900,0.0,1300,6,0,0.0
Above,-1.0,0900,0.0,1400,6,0,0.0
Above,-1.0,0900,0.0,1500,6,0,0.0
Above,-1.0,0900,0.0,1600,6,0,0.0
Above,-1.0,0900,0.0,1700,6,0,0.0
Above,-1.0,0900,0.0,1800,6,0,0.0
Above,-1.0,0900,0.0,1900,6,0,0.0
Above,-1.0,0900,0.0,2000,6,0,0.0
Above,-1.0,0900,0.0,2100,6,0,0.0
Above,-1.0,0900,0.0,2200,6,0,0.0
Above,-1.0,0900,0.0,2300,6,0,0.0
Below,-1.0,0900,0.236,0000,113,0,0.0
Below,-1.0,0900,0.236,0100,113,0,0.0
Below,-1.0,0900,0.236,0200,113,0,0.0
Below,-1.0,0900,0.236,0300,113,0,0.0
Below,-1.0,0900,0.236,0400,113,0,0.0
Below,-1.0,0900,0.236,0500,113,0,0.0
Below,-1.0,0900,0.236,0600,113,0,0.0
Below,-1.0,0900,0.236,0700,113,0,0.0
Below,-1.0,0900,0.236,0800,113,0,0.0
Below,-1.0,0900,0.236,0900,113,1,0.88
Below,-1.0,0900,0.236,1000,113,0,0.0
Below,-1.0,0900,0.236,1100,113,0,0.0
Below,-1.0,0900,0.236,1200,113,0,0.0
Below,-1.0,0900,0.236,1300,113,0,0.0
Below,-1.0,0900,0.236,1400,113,1,0.88
Below,-1.0,0900,0.236,1500,113,7,6.19
Below,-1.0,0900,0.236,1600,113,0,0.0
Below,-1.0,0900,0.236,1700,113,0,0.0
Below,-1.0,0900,0.236,1800,113,0,0.0
Below,-1.0,0900,0.236,1900,113,0,0.0
Below,-1.0,0900,0.236,2000,113,0,0.0
Below,-1.0,0900,0.236,2100,113,0,0.0
Below,-1.0,0900,0.236,2200,113,0,0.0
Below,-1.0,0900,0.236,2300,113,0,0.0
Below,-1.0,0900,0.382,0000,113,0,0.0
Below,-1.0,0900,0.382,0100,113,0,0.0
Below,-1.0,0900,0.382,0200,113,0,0.0
Below,-1.0,0900,0.382,0300,113,0,0.0
Below,-1.0,0900,0.382,0400,113,0,0.0
Below,-1.0,0900,0.382,0500,113,0,0.0
Below,-1.0,0900,0.382,0600,113,0,0.0
Below,-1.0,0900,0.382,0700,113,0,0.0
Below,-1.0,0900,0.382,0800,113,0,0.0
Below,-1.0,0900,0.382,0900,113,1,0.88
Below,-1.0,0900,0.382,1000,113,0,0.0
Below,-1.0,0900,0.382,1100,113,0,0.0
Below,-1.0,0900,0.382,1200,113,0,0.0
Below,-1.0,0900,0.382,1300,113,0,0.0
Below,-1.0,0900,0.382,1400,113,1,0.88
Below,-1.0,0900,0.382,1500,113,3,2.65
Below,-1.0,0900,0.382,1600,113,0,0.0
Below,-1.0,0900,0.382,1700,113,0,0.0
Below,-1.0,0900,0.382,1800,113,0,0.0
Below,-1.0,0900,0.382,1900,113,0,0.0
Below,-1.0,0900,0.382,2000,113,0,0.0
Below,-1.0,0900,0.382,2100,113,0,0.0
Below,-1.0,0900,0.382,2200,113,0,0.0
Below,-1.0,0900,0.382,2300,113,0,0.0
Below,-1.0,0900,0.5,0000,113,0,0.0
Below,-1.0,0900,0.5,0100,113,0,0.0
Below,-1.0,0900,0.5,0200,113,0,0.0
Below,-1.0,0900,0.5,0300,113,0,0.0
Below,-1.0,0900,0.5,0400,113,0,0.0
Below,-1.0,0900,0.5,0500,113,0,0.0
Below,-1.0,0900,0.5,0600,113,0,0.0
Below,-1.0,0900,0.5,0700,113,0,0.0
Below,-1.0,0900,0.5,0800,113,0,0.0
Below,-1.0,0900,0.5,0900,113,1,0.88
Below,-1.0,0900,0.5,1000,113,0,0.0
Below,-1.0,0900,0.5,1100,113,0,0.0
Below,-1.0,0900,0.5,1200,113,0,0.0
Below,-1.0,0900,0.5,1300,113,0,0.0
Below,-1.0,0900,0.5,1400,113,1,0.88
Below,-1.0,0900,0.5,1500,113,1,0.88
Below,-1.0,0900,0.5,1600,113,0,0.0
Below,-1.0,0900,0.5,1700,113,0,0.0
Below,-1.0,0900,0.5,1800,113,0,0.0
Below,-1.0,0900,0.5,1900,113,0,0.0
Below,-1.0,0900,0.5,2000,113,0,0.0
Below,-1.0,0900,0.5,2100,113,0,0.0
Below,-1.0,0900,0.5,2200,113,0,0.0
Below,-1.0,0900,0.5,2300,113,0,0.0
Below,-1.0,0900,0.618,0000,113,0,0.0
Below,-1.0,0900,0.618,0100,113,0,0.0
Below,-1.0,0900,0.618,0200,113,0,0.0
Below,-1.0,0900,0.618,0300,113,0,0.0
Below,-1.0,0900,0.618,0400,113,0,0.0
Below,-1.0,0900,0.618,0500,113,0,0.0
Below,-1.0,0900,0.618,0600,113,0,0.0
Below,-1.0,0900,0.618,0700,113,0,0.0
Below,-1.0,0900,0.618,0800,113,0,0.0
Below,-1.0,0900,0.618,0900,113,1,0.88
Below,-1.0,0900,0.618,1000,113,0,0.0
Below,-1.0,0900,0.618,1100,113,0,0.0
Below,-1.0,0900,0.618,1200,113,0,0.0
Below,-1.0,0900,0.618,1300,113,0,0.0
Below,-1.0,0900,0.618,1400,113,0,0.0
Below,-1.0,0900,0.618,1500,113,1,0.88
Below,-1.0,0900,0.618,1600,113,0,0.0
Below,-1.0,0900,0.618,1700,113,0,0.0
Below,-1.0,0900,0.618,1800,113,0,0.0
Below,-1.0,0900,0.618,1900,113,0,0.0
Below,-1.0,0900,0.618,2000,113,0,0.0
Below,-1.0,0900,0.618,2100,113,0,0.0
Below,-1.0,0900,0.618,2200,113,0,0.0
Below,-1.0,0900,0.618,2300,113,0,0.0
Below,-1.0,0900,0.786,0000,113,0,0.0
Below,-1.0,0900,0.786,0100,113,0,0.0
Below,-1.0,0900,0.786,0200,113,0,0.0
Below,-1.0,0900,0.786,0300,113,0,0.0
Below,-1.0,0900,0.786,0400,113,0,0.0
Below,-1.0,0900,0.786,0500,113,0,0.0
Below,-1.0,0900,0.786,0600,113,0,0.0
Below,-1.0,0900,0.786,0700,113,0,0.0
Below,-1.0,0900,0.786,0800,113,0,0.0
Below,-1.0,0900,0.786,0900,113,1,0.88
Below,-1.0,0900,0.786,1000,113,0,0.0
Below,-1.0,0900,0.786,1100,113,0,0.0
Below,-1.0,0900,0.786,1200,113,0,0.0
Below,-1.0,0900,0.786,1300,113,0,0.0
Below,-1.0,0900,0.786,1400,113,0,0.0
Below,-1.0,0900,0.786,1500,113,0,0.0
Below,-1.0,0900,0.786,1600,113,0,0.0
Below,-1.0,0900,0.786,1700,113,0,0.0
Below,-1.0,0900,0.786,1800,113,0,0.0
Below,-1.0,0900,0.786,1900,113,0,0.0
Below,-1.0,0900,0.786,2000,113,0,0.0
Below,-1.0,0900,0.786,2100,113,0,0.0
Below,-1.0,0900,0.786,2200,113,0,0.0
Below,-1.0,0900,0.786,2300,113,0,0.0
Below,-1.0,0900,1.0,0000,113,0,0.0
Below,-1.0,0900,1.0,0100,113,0,0.0
Below,-1.0,0900,1.0,0200,113,0,0.0
Below,-1.0,0900,1.0,0300,113,0,0.0
Below,-1.0,0900,1.0,0400,113,0,0.0
Below,-1.0,0900,1.0,0500,113,0,0.0
Below,-1.0,0900,1.0,0600,113,0,0.0
Below,-1.0,0900,1.0,0700,113,0,0.0
Below,-1.0,0900,1.0,0800,113,0,0.0
Below,-1.0,0900,1.0,0900,113,0,0.0
Below,-1.0,0900,1.0,1000,113,0,0.0
Below,-1.0,0900,1.0,1100,113,0,0.0
Below,-1.0,0900,1.0,1200,113,0,0.0
Below,-1.0,0900,1.0,1300,113,0,0.0
Below,-1.0,0900,1.0,1400,113,0,0.0
Below,-1.0,0900,1.0,1500,113,1,0.88
Below,-1.0,0900,1.0,1600,113,0,0.0
Below,-1.0,0900,1.0,1700,113,0,0.0
Below,-1.0,0900,1.0,1800,113,0,0.0
Below,-1.0,0900,1.0,1900,113,0,0.0
Below,-1.0,0900,1.0,2000,113,0,0.0
Below,-1.0,0900,1.0,2100,113,0,0.0
